,NK/ILC,Macrophage/Monocyte,Fibroblast,pDC,Myofibroblast,T-CD8,T-CD4,cDC,T-CD4-regulatory,Epithelial,Endothelial,Mast,B,Plasma,Neuroendocrine
SAM49f9b2e57aa5,0.0618598363024447,0.0358081204126681,0.0521176992833718,0.00594415319317203,0.107888077842939,0.00014878143545144,6.48047336587542e-05,0.00716396836295882,0.0181569710076114,0.191791804503155,0.205854560356647,0.0127090763964452,0.00716560287488935,0.00653232760495729,0.28679421568963
SAM2e7aa8fa0ab3,0.0567033976840771,0.0250041353587149,0.0496808413834257,0.015327035280878,0.129405508778877,0.00028011193860011,0.000113494043718416,0.00809102251374086,0.019064720083469,0.180484625969683,0.198936546823177,0.0141339830078833,0.00572155679321514,0.00578835154096162,0.291264668799578
SAMd0e47be700b0,0.0599485320457739,0.0384574134021499,0.042633010210779,0.00361872408926236,0.120924935996322,1.86722691499988e-05,3.79146823730516e-05,0.00900142240643778,0.0243352246467822,0.185263536788696,0.191718379856721,0.00985410374214829,0.00670976667421854,0.00809108184244459,0.299387281346741
SAMdf3e42c8672a,0.102988456032387,0.0532921315799459,0.0311045563673471,0.0263867334359062,0.103546155004572,0.0239822889367124,7.94567338469592e-05,0.00466367609470585,0.0160529073719408,0.223691633667102,0.153998727065357,0.026010505742622,0.000577556171200018,0.00224311219678396,0.231382103599572
SAMd027124354ce,0.0529616832589224,0.0255073302251124,0.0484335463905589,0.0107496156749598,0.13042381816612,0.000299505234227339,0.000249488992412722,0.00961738316306209,0.0305316493420803,0.182695437076153,0.17538307913856,0.0146289331026448,0.0147495690872575,0.00565266480145879,0.29811629634647
SAM36d87392593b,0.0686779931194776,0.0321666291342993,0.0557460467258055,0.00795034608115864,0.0990521060362899,0.000708216037133852,0.000139062137192465,0.00831962461492962,0.0226710200889329,0.222106057596317,0.20598165834101,0.0193873829048592,0.0102362513061577,0.0041935348716099,0.242664071004827
SAM4edbe45817b3,0.10636315039165,0.0349308993643576,0.0650040244922623,0.0144263125931936,0.0924425349348483,0.00166622174368653,9.24691327745634e-05,0.00543530705721041,0.0206070875865496,0.231057073107101,0.184815057069426,0.0147372101167642,0.00121803116612957,0.00369140609080674,0.22351321515324
SAM36a9225b0222,0.0337017951967068,0.0228232846650345,0.0655633905078189,0.00515762023612887,0.0982332293654721,7.82718657503449e-05,0.00095359331248036,0.00544548848165059,0.0231355239535797,0.296302205093855,0.140890642998285,0.0139942104088401,0.0123406842477153,0.00615902295657489,0.275221036710107
SAMe7bf6c015192,0.0553105673136233,0.030866000789353,0.0602766265173209,0.00774574988551457,0.0983444205991632,0.000926387446656798,5.53428032356649e-05,0.00621798562709885,0.0330242384885712,0.207370600790255,0.186468232160551,0.013473089178824,0.0127075825008294,0.00711005945826182,0.280103116440742
SAM6dd7ad1d797d,0.0633859611315381,0.025798041917753,0.0748241359620818,0.00125171600863081,0.100233316719286,5.19440715995341e-06,0.000836698038025789,0.00553062535930153,0.0256971078494145,0.184957141520134,0.225512590487762,0.0135119165253685,0.0057239880004694,0.00401814048978984,0.268713425583285
SAMc0d625a50eb8,0.0293262626689213,0.0197474400496468,0.0453814903394341,0.00713383033961767,0.0924630313358989,0.000479035341434572,0.00486944111221925,0.00624370085526451,0.0178431309495441,0.289617541996912,0.1446406037686,0.0136487605908853,0.0219054085792669,0.00706174918120614,0.299638572891148
SAM18039827e1b9,0.0643447692182316,0.0349463595984286,0.0691730961384252,0.00491920281948519,0.101555587546048,0.000180727865967852,7.19987977310936e-05,0.00408359131207867,0.0199248967776436,0.183048084322908,0.203488968262777,0.0160278293129592,0.00288906104425467,0.00737537272679512,0.287970454256267
